id,comentario,sentimiento,fecha,fuente
1,"No había agua en los baños, muy mala higiene. No regresaré.",NEG,2024-09-04,Facebook
2,"La carne asada estaba en su punto, muy jugosa.",POS,2024-01-13,Encuesta Interna
3,"El personal no conoce el menú, tuvo que ir a preguntar varias veces. No regresaré.",NEG,2024-11-27,Google Reviews
4,"Excelente experiencia. El birote salado estaba recién horneado, increíble.",POS,2024-07-29,Encuesta Interna
5,"Tienen menú del día con opciones de sopa, guisado y postre. Es un dato a considerar.",NEU,2024-06-17,Google Reviews
6,Las quesadillas de flor de calabaza son una delicia. Definitivamente lo recomiendo.,POS,2024-07-30,Google Reviews
7,Nos cobraron platillos que no consumimos.,NEG,2024-04-16,Encuesta Interna
8,Excelente experiencia. Las enchiladas verdes son las mejores que he probado en Zapopan.,POS,2024-01-11,Encuesta Interna
9,Tienen mesas en el interior y en terraza exterior.,NEU,2024-04-30,Encuesta Interna
10,"El pozole rojo estuvo espectacular, lo recomiendo. El lugar merece 5 estrellas.",POS,2024-07-29,Facebook
11,"El lugar tiene un encanto especial, muy acogedor. El lugar merece 5 estrellas.",POS,2024-02-05,Encuesta Interna
12,Ofrecen servicio a domicilio a través de aplicaciones. Sin más comentarios.,NEU,2024-05-10,Encuesta Interna
13,Hay que mencionar que tienen estacionamiento compartido con el centro comercial.,NEU,2024-06-19,Encuesta Interna
14,"La sopa llegó completamente fría, tuvieron que recalentarla. No regresaré.",NEG,2024-03-17,Encuesta Interna
15,"Hay que mencionar que el estacionamiento es limitado, mejor llegar en transporte.",NEU,2024-11-15,Encuesta Interna
16,"Visita obligada. Muy buen servicio, nos atendieron con mucha amabilidad.",POS,2024-09-01,Encuesta Interna
17,Muy decepcionante. Pedimos tres veces el mismo plato y nunca llegó.,NEG,2024-08-13,Google Reviews
18,Mal servicio. La salsa picante estaba aguada y sin sabor.,NEG,2024-01-31,Encuesta Interna
19,Tienen mesas en el interior y en terraza exterior. Sin más comentarios.,NEU,2024-11-16,Facebook
20,La recepcionista confirma reservaciones por WhatsApp. Sin más comentarios.,NEU,2024-10-12,Facebook
21,"Regresaré pronto, todo estuvo delicioso y a buen precio.",POS,2024-01-24,Google Reviews
22,El lugar está muy limpio y bien decorado.,POS,2024-03-09,Facebook
23,El servicio es lento y desorganizado.,NEG,2024-10-16,Google Reviews
24,"Mal servicio. El lugar estaba sucio, las mesas no estaban bien limpias.",NEG,2024-04-21,Facebook
